(index),"	timestamp","	bufferLevel","	throughput","	    latency",mode
"0	","'2025-02-15T04:55:03.254Z'	","'0.00'	","'0.12'	",'2231.50',1
"1	","'2025-02-15T04:55:11.255Z'	","'3.88'	","'0.23'	",'862.75',1
"2	","'2025-02-15T04:55:19.258Z'	","'0.85'	","'0.33'	",'63.50',1
"3	","'2025-02-15T04:55:27.254Z'	","'3.40'	","'0.44'	",'55.00',1
"4	","'2025-02-15T04:55:35.245Z'	","'0.49'	","'0.44'	",'45.25',1
"5	","'2025-02-15T04:55:43.254Z'	","'2.27'	","'0.44'	",'56.50',1
"6	","'2025-02-15T04:55:51.248Z'	","'0.00'	","'0.43'	",'76.25',1
"7	","'2025-02-15T04:55:59.247Z'	","'1.85'	","'0.43'	",'80.50',1
"8	","'2025-02-15T04:56:07.247Z'	","'8.67'	","'2.72'	",'18.50',2
"9	","'2025-02-15T04:56:15.246Z'	","'15.43'	","'3.01'	",'30.75',2
"10	","'2025-02-15T04:56:23.249Z'	","'12.42'	","'2.99'	",'31.75',2
"11	","'2025-02-15T04:56:31.247Z'	","'14.38'	","'2.97'	",'34.50',2
"12	","'2025-02-15T04:56:39.250Z'	","'11.37'	","'2.98'	",'34.25',2
"13	","'2025-02-15T04:56:47.258Z'	","'13.32'	","'2.98'	",'28.75',2
"14	","'2025-02-15T04:56:55.255Z'	","'15.17'	","'2.99'	",'29.75',2
"15	","'2025-02-15T04:57:03.247Z'	","'12.26'	","'2.99'	",'31.50',2
"16	","'2025-02-15T04:57:11.253Z'	","'14.20'	","'3.00'	",'31.50',2
"17	","'2025-02-15T04:57:19.247Z'	","'11.19'	","'3.00'	",'32.50',2
"18	","'2025-02-15T04:57:27.255Z'	","'13.13'	","'2.99'	",'31.75',2
"19	","'2025-02-15T04:57:35.246Z'	","'15.08'	","'2.97'	",'29.25',2
"20	","'2025-02-15T04:57:43.257Z'	","'11.82'	","'2.97'	",'30.25',2
"21	","'2025-02-15T04:57:51.260Z'	","'13.77'	","'2.95'	",'29.75',2
"22	","'2025-02-15T04:57:59.245Z'	","'15.74'	","'2.98'	",'33.00',2
"23	","'2025-02-15T04:58:07.255Z'	","'7.75'	","'2.98'	",'33.00',2
"24	","'2025-02-15T04:58:15.259Z'	","'0.00'	","'2.98'	",'33.00',3
"25	","'2025-02-15T04:58:23.255Z'	","'0.00'	","'2.98'	",'33.00',3
"26	","'2025-02-15T04:58:31.247Z'	","'0.00'	","'2.98'	",'63.00',3
"27	","'2025-02-15T04:58:39.256Z'	","'0.00'	","'2.98'	",'63.00',3
"28	","'2025-02-15T04:58:47.245Z'	","'0.00'	","'2.98'	",'118.50',3
"29	","'2025-02-15T04:58:55.256Z'	","'0.00'	","'2.98'	",'118.50',3
"30	","'2025-02-15T04:59:03.256Z'	","'2.56'	","'2.41'	",'164.25',3
"31	","'2025-02-15T04:59:11.257Z'	","'9.47'	","'1.47'	",'91.75',3
"32	","'2025-02-15T04:59:19.246Z'	","'11.48'	","'0.91'	",'45.50',4
"33	","'2025-02-15T04:59:27.251Z'	","'13.15'	","'0.96'	",'53.00',4
"34	","'2025-02-15T04:59:35.244Z'	","'10.15'	","'1.00'	",'56.25',4
"35	","'2025-02-15T04:59:43.250Z'	","'12.09'	","'0.99'	",'37.00',4
"36	","'2025-02-15T04:59:51.246Z'	","'14.04'	","'1.00'	",'32.75',4
"37	","'2025-02-15T04:59:59.245Z'	","'11.04'	","'1.00'	",'37.25',4
"38	","'2025-02-15T05:00:07.252Z'	","'13.00'	","'1.00'	",'41.00',4
"39	","'2025-02-15T05:00:15.255Z'	","'9.99'	","'1.00'	",'45.75',4
"40	","'2025-02-15T05:00:23.245Z'	","'11.95'	","'1.00'	",'46.25',4
"41	","'2025-02-15T05:00:31.248Z'	","'13.79'	","'1.00'	",'42.00',4
"42	","'2025-02-15T05:00:39.249Z'	","'10.88'	","'1.00'	",'41.25',4
"43	","'2025-02-15T05:00:47.245Z'	","'12.57'	","'1.00'	",'41.25',4
"44	","'2025-02-15T05:00:55.258Z'	","'9.57'	","'1.00'	",'40.75',4
"45	","'2025-02-15T05:01:03.245Z'	","'16.48'	","'1.00'	",'39.50',4
"46	","'2025-02-15T05:01:11.245Z'	","'13.49'	","'1.00'	",'33.00',4
"47	","'2025-02-15T05:01:19.259Z'	","'15.44'	","'1.00'	",'21.75',4
"48	","'2025-02-15T05:01:27.250Z'	","'12.43'	","'1.00'	",'20.00',5
"49	","'2025-02-15T05:01:35.257Z'	","'14.39'	","'1.00'	",'19.75',5
"50	","'2025-02-15T05:01:43.250Z'	","'16.34'	","'1.00'	",'18.25',5
"51	","'2025-02-15T05:01:51.258Z'	","'13.34'	","'7.35'	",'18.75',5
"52	","'2025-02-15T05:01:59.249Z'	","'15.03'	","'7.35'	",'20.75',5
"53	","'2025-02-15T05:02:07.257Z'	","'12.02'	","'7.35'	",'19.50',5
"54	","'2025-02-15T05:02:15.247Z'	","'13.97'	","'7.35'	",'17.00',5
"55	","'2025-02-15T05:02:23.256Z'	","'15.92'	","'7.35'	",'19.00',5
"56	","'2025-02-15T05:02:31.246Z'	","'12.92'	","'7.35'	",'18.75',5
"57	","'2025-02-15T05:02:39.253Z'	","'14.88'	","'7.35'	",'17.25',5
"58	","'2025-02-15T05:02:47.258Z'	","'11.85'	","'7.35'	",'16.75',5
"59	","'2025-02-15T05:02:55.256Z'	","'13.78'	","'7.35'	",'21.25',5
"60	","'2025-02-15T05:03:03.247Z'	","'15.76'	","'7.35'	",'20.50',5
"61	","'2025-02-15T05:03:11.249Z'	","'12.74'	","'7.35'	",'20.50',5
"62	","'2025-02-15T05:03:19.247Z'	","'14.43'	","'7.35'	",'17.25',5
"63	","'2025-02-15T05:03:27.255Z'	","'16.40'	","'7.35'	",'19.75',5
"64	","'2025-02-15T05:03:35.254Z'	","'13.38'	","'7.35'	",'20.00',5
"65	","'2025-02-15T05:03:43.250Z'	","'15.34'	","'7.35'	",'18.00',5
"66	","'2025-02-15T05:03:51.249Z'	","'12.33'	","'7.35'	",'17.50',5
"67	","'2025-02-15T05:03:59.258Z'	","'14.29'	","'7.35'	",'23.50',5
"68	","'2025-02-15T05:04:07.244Z'	","'16.22'	","'7.35'	",'24.25',5
"69	","'2025-02-15T05:04:15.245Z'	","'13.22'	","'7.35'	",'17.75',5
"70	","'2025-02-15T05:04:23.254Z'	","'15.18'	","'7.35'	",'22.50',5
"71	","'2025-02-15T05:04:31.257Z'	","'11.90'	","'7.35'	",'23.50',5
"72	","'2025-02-15T05:04:39.248Z'	","'13.86'	","'7.35'	",'17.00',5
"73	","'2025-02-15T05:04:47.252Z'	","'15.80'	","'7.35'	",'34.75',5
"74	","'2025-02-15T05:04:55.247Z'	","'12.79'	","'7.35'	",'35.00',5
